statecode,statename,distnew_1,nfhs1_districtname,districtcode_nfhs1,distnew_2,nfhs2_districtname,districtcode_nfhs2,state_nfhs5,name_nfhs5,distnew_4,nfhs4_districtname,districtcode_nfhs4,distnew_5,nfhs5_districtname,districtcode_nfhs5,state_sbm,district_sbm,,,,,,,,,,,,,,
4,bihar,1197,Darbhanga,19,1197,Darbhanga,19,109,bihar,1197,darbhanga,215,1197,darbhanga,215,BIHAR,DARBHANGA,,,,,,,,,,,,,,
4,bihar,1189,Madhubani,20,1189,Madhubani,20,109,bihar,1189,madhubani,207,1189,madhubani,207,BIHAR,MADHUBANI,,,,,,,,,,,,,,
4,bihar,1196,Saharsa,21,1196,Saharsa,21,109,bihar,1196,saharsa,214,1196,saharsa,214,BIHAR,SAHARSA,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1196,supaul,208,1196,supaul,208,BIHAR,SUPAUL,,,,,,,,,,,,,,
4,bihar,1195,Madhepura,22,1195,Madhepura,22,109,bihar,1195,madhepura,213,1195,madhepura,213,BIHAR,MADHEPURA,,,,,,,,,,,,,,
4,bihar,1193,Purnia,23,1193,Purnia,23,109,bihar,1193,purnia,211,1193,purnia,211,BIHAR,PURNIA,,,,,,,,,,,,,,
4,bihar,,,,1193,Araria,41,109,bihar,1193,araria,209,1193,araria,209,BIHAR,ARARIA,,,,,,,,,,,,,,
4,bihar,,,,1193,Kishanganj,42,109,bihar,1193,kishanganj,210,1193,kishanganj,210,BIHAR,KISHANGANJ,,,,,,,,,,,,,,
4,bihar,1194,Katihar,24,1194,Katihar,24,109,bihar,1194,katihar,212,1194,katihar,212,BIHAR,KATIHAR,,,,,,,,,,,,,,
4,bihar,1205,Khagaria,25,1205,Khagaria,25,109,bihar,1205,khagaria,223,1205,khagaria,223,BIHAR,KHAGARIA,,,,,,,,,,,,,,
4,bihar,1208,Munger,26,1208,Munger,26,109,bihar,1208,munger,226,1208,munger,226,BIHAR,MUNGER,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1208,lakhisarai,227,1208,lakhisarai,227,BIHAR,LAKHISARAI,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1208,sheikhpura,228,1208,sheikhpura,228,BIHAR,SHEIKHPURA,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1208,jamui,238,1208,jamui,238,BIHAR,JAMUI,,,,,,,,,,,,,,
4,bihar,1206,Bhagalpur,27,1206,Bhagalpur,27,109,bihar,1206,bhagalpur,224,1206,bhagalpur,224,BIHAR,BHAGALPUR,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1206,banka,225,1206,banka,225,BIHAR,BANKA,,,,,,,,,,,,,,
4,bihar,1314,Godda,28,1314,Godda,28,119,jharkhand,1314,godda,351,1314,godda,351,JHARKAHND,GODDA,,,,,,,,,,,,,,
4,bihar,1315,Sahibganj,29,1315,Sahibganj,29,119,jharkhand,1315,sahibganj,352,1315,sahibganj,352,JHARKAHND,SAHIBGANJ,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1315,pakur,353,1315,pakur,353,JHARKAHND,PAKUR,,,,,,,,,,,,,,
4,bihar,1325,Dumka,30,1325,Dumka,30,119,jharkhand,1325,dumka,362,1325,dumka,362,JHARKAHND,DUMKA,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1325,jamtara,363,1325,jamtara,363,JHARKAHND,JAMTARA,,,,,,,,,,,,,,
4,bihar,1313,Deoghar,31,1313,Deoghar,31,119,jharkhand,1313,deoghar,350,1313,deoghar,350,JHARKAHND,DEOGHAR,,,,,,,,,,,,,,
4,bihar,,,,1312,Dhanbad,32,119,jharkhand,1312,dhanbad,354,1312,dhanbad,354,JHARKAHND,DHANBAD,,,,,,,,,,,,,,
4,bihar,,,,1312,Giridih,33,119,jharkhand,1312,giridih,349,1312,giridih,349,JHARKAHND,GIRIDIH,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1312,bokaro,355,1312,bokaro,355,JHARKAHND,BOKARO,,,,,,,,,,,,,,
4,bihar,,,,1323,Hazaribag,34,119,jharkhand,1323,hazaribagh,360,1323,hazaribagh,360,JHARKAHND,HAZARIBAGH,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1323,chatra,347,1323,chatra,347,JHARKAHND,CHATRA,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1323,kodarma,348,1323,kodarma,348,JHARKAHND,KODERMA,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1323,ramgarh,361,1323,ramgarh,361,JHARKAHND,RAMGARH,,,,,,,,,,,,,,
